epoch,train_loss,val_loss,val_acc,best,freeze
1,0.5072152985073421,0.21495245961628295,0.9481092754163241,1,freeze
2,0.21779621576908792,0.17785551444943257,0.9485092330397221,1,freeze
3,0.18899813212446123,0.17329824151315354,0.947572390238444,1,freeze
4,0.17181909708890192,0.179147458549113,0.9433875000267699,0,freeze
5,0.1578179604247852,0.16759211179443392,0.9460006011159796,1,freeze
6,0.14363486363221578,0.17735424043717363,0.9406620494106359,0,freeze
7,0.13356594450780004,0.1661784450322521,0.9483456862600226,1,freeze
8,0.1264416084136113,0.18176774920214642,0.9440283524362665,0,freeze
9,0.11818506956772573,0.17226518511706512,0.9463730527643572,0,freeze
10,0.10987365882683901,0.1709587589431439,0.9470539260328862,0,freeze
11,0.16660391918421447,0.143879647805696,0.9539927599722879,1,unfreeze
12,0.13530041452812808,0.1688282477796603,0.9412602374428197,0,unfreeze
13,0.11710074521002858,0.13719429653384088,0.9534306777151007,1,unfreeze
14,0.09428298751218091,0.1475375883675094,0.952961804573996,0,unfreeze
15,0.0827180838624243,0.1588938978504767,0.9455658762078536,0,unfreeze
16,0.07571783673112477,0.1588917266626715,0.9479945668003016,0,unfreeze
17,0.06958252356292391,0.1642804664727875,0.9552958973667078,0,unfreeze
18,0.06618102978017464,0.1547890840844961,0.9514611227470532,0,unfreeze
19,0.05909751652359831,0.14894274901188417,0.9527117076673006,0,unfreeze
20,0.0497609294860801,0.1633084855711145,0.9512214493333248,0,unfreeze
21,0.04983173356042116,0.1969165713136548,0.9372221796136153,0,unfreeze
22,0.05359078015275586,0.15796803427851935,0.953842280203836,0,unfreeze
23,0.04769461204854175,0.17335520306446217,0.9535886195668003,0,unfreeze
24,0.03956265206478446,0.17523601117014623,0.9543287712231017,0,unfreeze
25,0.04605868944080651,0.18289920531771256,0.9465566267047012,0,unfreeze
26,0.043400777727201564,0.19726356151739405,0.938693832932857,0,unfreeze
27,0.043767255600808214,0.1844572054575062,0.944507548683568,0,unfreeze
28,0.037098009636209676,0.18849607420026732,0.9474567614103618,0,unfreeze
29,0.03604412311636838,0.17403265860112227,0.950624332093356,0,unfreeze
30,0.034807353515108296,0.1787737751716034,0.9565482223243044,0,unfreeze
31,0.047399156053762624,0.18026339717307804,0.9504536243907192,0,unfreeze
32,0.04005927185971614,0.18509904989390122,0.9514143257810358,0,unfreeze
33,0.03233513509705089,0.17351023034738286,0.9543691267047012,0,unfreeze
34,0.026869746230386928,0.18701059610012608,0.9564204634281627,0,unfreeze
35,0.03236783180812044,0.21006467999143746,0.9377453787284985,0,unfreeze
36,0.07816867510059683,0.2403399779211057,0.9272757915028355,0,unfreeze
37,0.03374842763033145,0.1638959320138992,0.9558407130994295,0,unfreeze
38,0.024376270348949992,0.17227655019824462,0.9600768507572642,0,unfreeze
39,0.022112050909258024,0.17164524232697906,0.9580485695286801,0,unfreeze
40,0.023687143318305903,0.17726663538636353,0.9584812532391465,0,unfreeze
41,0.03302811671046354,0.2042327066514198,0.9435078804953057,0,unfreeze
42,0.05566878180450896,0.1832761812446401,0.9527901766592997,0,unfreeze
43,0.028619495827020263,0.17447895864394006,0.9548367282800507,0,unfreeze
44,0.021978836133666295,0.1931249138443743,0.954321125097442,0,unfreeze
45,0.020136642294379548,0.18255105020585038,0.9592205181456449,0,unfreeze
46,0.020282784847253717,0.18441081635391396,0.956922029194079,0,unfreeze
47,0.05928521923212656,0.21202987222419437,0.9242660288225141,0,unfreeze
48,0.0706551242640244,0.17033231136130603,0.9514267235471491,0,unfreeze
49,0.02759537079276228,0.17474143718274943,0.955108876813922,0,unfreeze
50,0.02032738021237835,0.18075229417910135,0.9553410212198893,0,unfreeze
51,0.017834915124326615,0.18508790536795944,0.9569718879565858,0,unfreeze
52,0.017641274349679974,0.19647583296514293,0.9508499848215204,0,unfreeze
53,0.022421254337395412,0.1949051168833404,0.9528790691442657,0,unfreeze
54,0.06971383728271369,0.1934510043407852,0.9428080843206037,0,unfreeze
55,0.03301172367859595,0.18024784880423597,0.9565195451702988,0,unfreeze
56,0.019945452514855546,0.17676580476570497,0.9580522838391756,0,unfreeze
57,0.015883289818519806,0.18814364365314334,0.958204520376105,0,unfreeze
58,0.015270197561688976,0.19691893937156457,0.9603209913822642,0,unfreeze
59,0.015499164718659175,0.18921570573412375,0.9568520930775425,0,unfreeze
60,0.01802901602355298,0.19368284901333274,0.9575916591443514,0,unfreeze
